Text,IsToxic,text_clean,text_stemmed,augmented
"100% agree, people are up in arms, but they need to find out more information before rioting. Thinking that getting high or doing drugs then robbing a store carelessly and then walking in the MIDDLE of the street and screaming at a cop + attacking and reaching for the gun is ""unarmed"" (not to mention his size either) then people are VERY gullible. I find it funny how all races are racist to each other and blacks are racist to whites, but every single time someone is ""racist"" to a black person then everyone throws their hands up and gets pissed off at white people. I am not a racist person, but I don't want to sit here while everyone believes that white people are the only racist people just because what happened in the past, makes me sick to think I have to grow up in this generation. ",0,agree people arm need find information rioting thinking getting high drug robbing store carelessly walking middle street screaming cop attacking reaching gun unarmed mention size either people gullible find funny race racist black racist white every single time someone racist black person everyone throw hand get pissed white people racist person dont want sit everyone belief white people racist people happened past make sick think grow generation,agre peopl arm need find inform riot think get high drug rob store carelessli walk middl street scream cop attack reach gun unarm mention size either peopl gullibl find funni race racist black racist white everi singl time someon racist black person everyon throw hand get piss white peopl racist person dont want sit everyon belief white peopl racist peopl happen past make sick think grow gener,original
Yep a Muslim bitch,1,yep muslim bitch,yep muslim bitch,original
"the guy was a monster, he got what he deserved, color didn't matter. anyone that attacks a guy with a gun is gonna get shot.......he did a stupid illegal act tried hurting someone and got blasted. give the cop a raise",1,"the monster guy got the color he deserved, it didn't matter, no one attacked the guy, he will be shot, the stupid illegal act tried to hurt someone, he was attacked, he gave the cop a raise.",guy monster got deserv color didnt matter anyon attack guy gun gonna get shoth stupid illeg act tri hurt someon got blast give cop rais,back_translation
"I just thought about how to deal with this situation as a driver. The only working thing I came up with was getting out of the car, getting other drivers of stoppes cars to come with me and clean the road. But that's self justice. Something we all support irrationally and are against rationally.",1,thought deal situation driver working thing came getting car getting driver stoppes car come clean road thats self justice something support irrationally rationally,thought deal situat driver work thing came get car get driver stopp car come clean road that self justic someth support irrat ration,original
"If the injustice was against white kids, would there be ANY excuse?",1,The injustice of the white child would excuse her.,injustic white kid would excus,back_translation
Fucking savages! Protest sumthing real... Like how your government is robbing you and sendin your kids to an elegal WAR! You are the laughing stock of America congrats!,1,fucking savage protest sumthing real like government robbing sendin kid elegal war laughing stock america congrats,fuck savag protest sumth real like govern rob sendin kid eleg war laugh stock america congrat,original
"Spin it any way you want, he could have been a thug but the police officer would not know either way unless he had a previous offense and remembered him, which he did not. He did not have a weapon, the police are trained and he did not have to shoot him six times. The fact is we will never truly know all the facts. Go sign the petition for police officers to wear cameras on their chests, then there will be no debate about who seems 'threatening.'",0,spin way want could thug police officer would know either way unless previous offense remembered weapon police trained shoot six time fact never truly know fact sign petition police officer wear camera chest debate seems threatening,spin way want could thug polic offic would know either way unless previou offens rememb weapon polic train shoot six time fact never truli know fact sign petit polic offic wear camera chest debat seem threaten,original
"EXCELLENT!! They'd (media-slaves) have us wait to speak out,,so this gets lost into the next tragedy.. there's a travesty happening here that's been going on since thee origins of USA. Nøbody is free. Thee illusion is real. & so is thee struggle. & we're experiencing the collision of this experiment. Psychological warfare through attrition. In typing that,,always be aware of baiting.. don't allow 'them' to create 'helter skelter' ",0,excellent theyd mediaslaves wait speak outso get lost next tragedy there travesty happening thats going since thee origin usa nbody free thee illusion real thee struggle experiencing collision experiment psychological warfare attrition typing thatalways aware baiting dont allow create helter skelter,excel theyd mediaslav wait speak outso get lost next tragedi there travesti happen that go sinc thee origin usa nbodi free thee illus real thee struggl experienc collis experi psycholog warfar attrit type thatalway awar bait dont allow creat helter skelter,original
"It is better for society, for the ""greater good,"" that Michael Brown went off the rails now, before he got ushered through college life on an athletic scholarship and became a ""Brown killer"" like O.H.Simpson. became.  O.lJ. was found civilly liable, y'know.",1,better society better good michael brown went crazy was introduced college life athletic scholarship became a brown killer like ohsimpson went olj found civilly liable you know,better societi greater good michael brown went rail got usher colleg life athlet scholarship becam brown killer like ohsimpson becam olj found civilli liabl yknow,back_translation
"I find it insane that black people always play the racist card over every single little issue between a coincidental white-black situation, when in most cases race has nothing to do with it.

Also, they say they want justice. . than why go around destroying private property and looting shops, how in their right mind would ask for justice and rob and destroy peoples lively hood at the same time.

It's as though these black communities think it is perfectly acceptable for a black person to kill a white cop but when the cop follows procedures and defends him self from a potential fatal attack they get angry . . yeah the black guy might not have had a firearm but could easily have had a knife or something. . why do they value other black people more than a white law enforcement officer. . life is equal and as such they should understand that the officer defended him self from an attack. . and yes it was an attack.    ",1,find insane black people always play racist card every single little issue coincidental whiteblack situation case race nothing also say want justice around destroying private property looting shop right mind would ask justice rob destroy people lively hood time though black community think perfectly acceptable black person kill white cop cop follows procedure defends self potential fatal attack get angry yeah black guy might firearm could easily knife something value black people white law enforcement officer life equal understand officer defended self attack yes attack,find insan black peopl alway play racist card everi singl littl issu coincident whiteblack situat case race noth also say want justic around destroy privat properti loot shop right mind would ask justic rob destroy peopl live hood time though black commun think perfectli accept black person kill white cop cop follow procedur defend self potenti fatal attack get angri yeah black guy might firearm could easili knife someth valu black peopl white law enforc offic life equal understand offic defend self attack ye attack,original
All liberal nonsense,1,liberal nonsense,liber nonsens,original
"If Michael Brown was Asian, his name would be Dindu Nuffin Wong",1,michael brown asian name would be dindu nuffin wong,michael brown asian name would dindu nuffin wong,back_translation
run them over,1,run,run,back_translation
These people did more to hurt their cause than help it that day. No one that is rational is on the blacklivesmatter side anymore.,0,people hurt cause help day one rational blacklivesmatter side anymore,peopl hurt caus help day one ration blacklivesmatt side anymor,original
Run the black cunts over,1,run black pussy,run black cunt,back_translation
What's with all the dislikes? White people are that offended? You thought racism wasn't an issue anymore....think again,1,whats dislike white people offended thought racism wasnt issue anymorethink,what dislik white peopl offend thought racism wasnt issu anymorethink,original
"Public schools are not terrible, the problem is many kids attending these public schools bring all sorts of issues into the classroom. Please don't build strawman characterizations of the left, many of these communities need public financial support because of conservative economic policies that have devastated local economies. Welfare is simply a symptom not a cause.",0,public school terrible problem many kid attending public school bring sort issue classroom please dont build strawman characterization left many community need public financial support conservative economic policy devastated local economy welfare simply symptom cause,public school terribl problem mani kid attend public school bring sort issu classroom pleas dont build strawman character left mani commun need public financi support conserv econom polici devast local economi welfar simpli symptom caus,original
"run'em over, they're on a freaking freeway",1,runem theyre freaking freeway,runem theyr freak freeway,original
If a patient is ever in an ambulance during this and get injured worse because they can’t make it to the hospital the protestors should be liable and if they die then the protestors should be charged with man slaughter,1,patient ever ambulance hurt worse can't hold hospital protesters responsible protesters die accused man massacre,patient ever ambul get injur wors cant make hospit protestor liabl die protestor charg man slaughter,back_translation
"FUCK MEDIA 
Bassem was right find something real to investigate. You're just exaggerating because you want more views and more MONEY.

FUCK YOU SELFISH FUCKS

These people are DISGUSTING. I don't know how they bare with their NASTY selves.",1,fuck middle bassem right find something real investigate you're exaggerating want to see money fuck selfish fuck people disgusting I don't know naked nasty me,fuck medium bassem right find someth real investig your exagger want view money fuck selfish fuck peopl disgust dont know bare nasti self,back_translation
"Your ""gentle giant"" seems to have robbed a store and later assaulted an armed police officer! So much for the school boy look you were hoping for, thug life comes with a high price.",1,The gentle giant appears to have been mugged in a store and then assaulted by an armed police officer. Many school children look on expecting the life of a bully to come at a high price.,gentl giant seem rob store later assault arm polic offic much school boy look hope thug life come high price,back_translation
the guy on the right is so on point. don't judge on his speaking abilities but judge him on his messege! you racist fucks can suck my dick. and like always the media focusing on the thing that don't matter. CNN is shit.,1,guy right point dont judge speaking ability judge messege racist fuck suck dick like always medium focusing thing dont matter cnn shit,guy right point dont judg speak abil judg messeg racist fuck suck dick like alway medium focus thing dont matter cnn shit,original
Keep letting real people get in front of the camera... The truth will be told in its purest form.,0,keep letting real people get front camera truth told purest form,keep let real peopl get front camera truth told purest form,original
Well damn. Good for her,0,well damn good,well damn good,original
"Is the cell phone video being shown anymore? All I get is a ""sorry"" message saying it is private.",0,cell phone video shown anymore get sorry message saying private,cell phone video shown anymor get sorri messag say privat,original
"so you want to shoot them, can hardly wait till one of your kids gets in trouble with the police and gets killed",1,want shoot hardly wait till one kid get trouble police get killed,want shoot hardli wait till one kid get troubl polic get kill,original
Fuck mo and kansas city,1,fuck kansa city,fuck kansa citi,original
"this is going 'viral' - already viewed by 100,000 police in US.",0,going viral already viewed police,go viral alreadi view polic,original
"@ReasonBurger(Twitter)

Powerful. Blunt force trauma powerful. I hope your words change the thinking of those whose concern for black lives is so misplaced.

Thank you for sharing.",0,twitter powerful blunt force trauma powerful hope word change thinking whose concern black life misplaced thank sharing,twitter power blunt forc trauma power hope word chang think whose concern black life misplac thank share,original
"What a garbage police,kick them all out of their jobs,what are they paid for if they can do what they supposed to do,they let that shit off protesters blocking thousands of people from which some of them could have an emergency,I wouldn't be surprised,when I see the video,that police like to kissing them.What a idiotic law enforcement you have there!",1,garbage policekick jobswhat paid supposed dothey let shit protester blocking thousand people could emergencyi wouldnt surprisedwhen see videothat police like kissing themwhat idiotic law enforcement,garbag policekick jobswhat paid suppos dothey let shit protest block thousand peopl could emergencyi wouldnt surprisedwhen see videothat polic like kiss themwhat idiot law enforc,original
"If you think I am nit upset about the white people as much as the black people who get shot by police every day, you would be ignorant as fuck. 

Racism is nit the only problem here, its the militarized police we are seeing. 

Down with police culture! I'm just as sick as being disrespected by police as any black man. 

If they use violence, you best bet all of logical America will fight back, despite the colour of their skin! 

Go Furgson, next time bring your own guns and shoot back!",1,think nits annoying white people a lot of black people get shot police every day would be ignorant fuck racism nit problem militarized police watching police culture sick police disrespected black man use violence best bet logical america defend itself despite skin color furgson next time bring gun shoot again,think nit upset white peopl much black peopl get shot polic everi day would ignor fuck racism nit problem militar polic see polic cultur sick disrespect polic black man use violenc best bet logic america fight back despit colour skin furgson next time bring gun shoot back,back_translation
Joe rogan is an idiot.,1,joe rogan idiot,joe rogan idiot,original
"BLACKS ARE TIRED OF BEING KILLED FOR NOTHING, HE DIDN'T HAD A WEAPON, SO YOU SHUT YOUR ASS WHITE DEVIL. ALL WHITE PEOPLE ARE EVIL.",1,black tired killed nothing didnt weapon shut as white devil white people evil,black tire kill noth didnt weapon shut as white devil white peopl evil,original
"Wow, an a-hole that makes a CNN interviewer seem reasonable and balanced....",1,wow ahole make cnn interviewer seem reasonable balanced,wow ahol make cnn interview seem reason balanc,original
GOOD ,0,good,good,original
You call yourself a researcher and that you plan is examine the facts yet you mention bullshit rumours. Trayvon martin had iced tea and skittles those were the FACTS. Speculation and victim blaming is what you are actually doing. Stop trying to pretend yo examining the facts ,1,call researcher plan examine fact yet mention bullshit rumour trayvon martin iced tea skittle fact speculation victim blaming actually stop trying pretend examining fact,call research plan examin fact yet mention bullshit rumour trayvon martin ice tea skittl fact specul victim blame actual stop tri pretend examin fact,original
"The focus should be on what happened when the officer confronted Brown that lead to his death.  Nothing else matters, so focus on that.",0,focus happened officer confronted brown lead death nothing else matter focus,focu happen offic confront brown lead death noth els matter focu,original
Nothing more hypocritical than a movement claiming to support blacks by blocking probably hundreds of blacks trying to get to their job to feed their god damn family,0,nothing hypocritical movement claiming support black blocking probably hundred black trying get job feed god damn family,noth hypocrit movement claim support black block probabl hundr black tri get job feed god damn famili,original
"all police officers should be wearing a camera on their lapel, all these issues would be open and shut cases...",0,police officer wearing camera lapel issue would open shut case,polic offic wear camera lapel issu would open shut case,original
You see if Blacks speak  the truth and don't conform to the norm they are considered Uncle Tom's and sell outs,0,see black speak truth dont conform norm considered uncle tom sell out,see black speak truth dont conform norm consid uncl tom sell out,original
"NO THANKSGIVEN OR CHRISTMAS   for all the Owners of the Business that were Looted,stole from, Burned out for no good reason and NONE FOR YEARS TO COME,    These People did NOTHING except serve the same ones that Burned them out.     May God have mercy on you    I WOULD NOT.",0,thanksgiven christmas owner business lootedstole burned good reason none year come people nothing except serve one burned may god mercy would,thanksgiven christma owner busi lootedstol burn good reason none year come peopl noth except serv one burn may god merci would,original
"""back to Africa"" still a thing?  cause they seem like they really don't like it here...and its not working out...maybe they can turn their continent around",1,"Going back to Africa is still something because I don't seem to really like being here and exercising, maybe change the continent",back africa still thing caus seem like realli dont like hereand work outmayb turn contin around,back_translation
"Thank you, Peggy!",0,thank peggy,thank peggi,original
put this in a civilians perspective two people get in a fight one gets shot the other goes to jail. but since he is a cop he was protecting him self. Micheal brown was shot 151 feet away from Daren Wilson`s patrol car so there is no way that he couldn't get him self out of that situation he continued the conflict between them two there was no reason to shoot him there where other options like pepper spray or his tazer.,0,put civilian perspective two people get fight one get shot go jail since cop protecting self micheal brown shot foot away daren wilson patrol car way couldnt get self situation continued conflict two reason shoot option like pepper spray tazer,put civilian perspect two peopl get fight one get shot go jail sinc cop protect self micheal brown shot foot away daren wilson patrol car way couldnt get self situat continu conflict two reason shoot option like pepper spray tazer,original
This is so far off base that you can't even call it propaganda! BS!,1,far base cant even call propaganda,far base cant even call propaganda,original
Black lives splatter.,1,black life splatter,black life splatter,original
"This makes me so damn angry.  All of this over some worthless thug who got himself shot?  The protests, those animals looting and tearing shit up in their own neighborhoods over this?  This is why everyone thinks the black community is fucked up, because it is fucked up.",1,piss off a useless thug got shot protest animal looting tear shit neighborhood everyone thinks black community fucked fucked,make damn angri worthless thug got shot protest anim loot tear shit neighborhood everyon think black commun fuck fuck,back_translation
" Did the IDIOT reporter do the survey on the percent of blacks that are involved in the following:- Gang Activities
ShopLifting
Car Jacking
Robberies
Robberies with assault
Teenage Pregnancies",1,idiot reporter survey percentage black involved following gang activity theft car theft robbery assault assault teenage pregnancy,idiot report survey percent black involv follow gang activ shoplift car jack robberi robberi assault teenag pregnanc,back_translation
"Michael Brown, rob a store assaulted the store owner. Then fought with a police officer Darren Wilson in and through the police window went for the officer gun, then was shot and killed. Brown did not have a shirt saying I'm not armed. This is what happens when you do criminal activity, regardless of the color of your skin. A linch mob mentality should not get there way, or public pressure when all the facts support Browns activity of the day. Some wonder if Brown wanted death (suicide) by cop for his family could sue.",1,michael brown shoplift assaulted shop owner fought police officer darren wilson police window was officer gun shot killed brown shirt saying armed happens criminal activity no matter skin color lynch mob mentality go out road public pressure done support brown activity day wonder brown wanted death suicide police family could sue,michael brown rob store assault store owner fought polic offic darren wilson polic window went offic gun shot kill brown shirt say arm happen crimin activ regardless color skin linch mob mental get way public pressur fact support brown activ day wonder brown want death suicid cop famili could sue,back_translation
We need to get back to basics. When these savages riot or protest use the German Shepard's. then shoot these animals...,1,need get back basic savage riot protest use german shepard shoot animal,need get back basic savag riot protest use german shepard shoot anim,original
Lol stupid mooslims,1,lol stupid mooslims,lol stupid mooslim,original
Run them over,1,run,run,back_translation
I'm working poor and white and I fear my kids would be profiled like I have been my whole life. I get searched every time I get stopped and I have no record but they love fucking with me. And I hope better for my kids.,0,working poor white fear kid would profiled like whole life get searched every time get stopped record love fucking hope better kid,work poor white fear kid would profil like whole life get search everi time get stop record love fuck hope better kid,original
"Where is the picture of cops injuries, and why wasn't their a ambulance their for the injured officer.",0,picture cop injury wasnt ambulance injured officer,pictur cop injuri wasnt ambul injur offic,original
"Let's reverse the rolls! Black racist cops in rich white communities.(but you can't prove there racist) When a white man gets pissed off at this intolerable condition. We unload several clips of high caliber ammo at point blank range for his audacity at questioning authority. All Americans need to be on full alert of this elitist agenda to set presidents of questioning authority. The elitist upper-class is the problem. Prison culture CIA drug Cartels. Exporting jobs and importing cheap labor, While the elitist get bailed out and support this corrupt system. We can turn this around when we c get past the race issue the Govt. incites to divide the working class, but you can hardly call it a working class because the Govt put everyone out of work. We are more of a homeless class. Let us not for get Western history and the role big money plays in this clusterfuck designed to destroy a Nation that is Destroyed at this point. We can get it back, ask me how.",1,let roll back black racist police rich white communities but can't prove racist white man get angry intolerable condition download various clip high caliber ammo point blank range audacity question authority american need full alert elitist agenda set president questioning authority elitist upper class problem prison culture cia drug cartel export job import cheap labor elitist bail support corrupt system turn around overcome race problem government incites to divide working class hardly call the working class government put everyone to work homeless class let go western history theme paper big money play clusterfuck designed destroy nation destroyed point come back ask,let revers roll black racist cop rich white communitiesbut cant prove racist white man get piss intoler condit unload sever clip high calib ammo point blank rang audac question author american need full alert elitist agenda set presid question author elitist upperclass problem prison cultur cia drug cartel export job import cheap labor elitist get bail support corrupt system turn around get past race issu govt incit divid work class hardli call work class govt put everyon work homeless class let get western histori role big money play clusterfuck design destroy nation destroy point get back ask,back_translation
Run them down,1,run,run,back_translation
"You actually CAN shout ""fire"" in a crowded theater. Christopher Hitchens demonstrated this in his talk about ""free speech."" Look it up. The interviewee is correct. Cops serve the public, not the other way around. And it is consistent with serving that public that the police department represent that public's race and ethnicity in its ranks. Hire a bunch of big, tough, black guys to the police department and you will have fewer blacks being shot to death by a puny white guy who felt humiliated when he got bitch slapped by a teenager. ",1,actually shout fire crowded theater christopher hitchens shown speak freedom of speech look interviewed correct police serve public way around consistent public service police department represent public race ethnicity rank hire bunch big hard black police department less shot black insignificant death white boy felt humiliated got bitch slapped teenager,actual shout fire crowd theater christoph hitchen demonstr talk free speech look interviewe correct cop serv public way around consist serv public polic depart repres public race ethnic rank hire bunch big tough black guy polic depart fewer black shot death puni white guy felt humili got bitch slap teenag,back_translation
The fuck are thes cops being a pussy?,1,fuck the police pussy,fuck the cop pussi,back_translation
The show title doesn't belong with the host name.,0,show title doesnt belong host name,show titl doesnt belong host name,original
The drivers should've pounded on them!,1,driver shouldve pounded,driver shouldv pound,original
"“Do White children deserve to have a future?
Tens of millions of non-Whites flooding into White countries every year will, in a few decades, mean that Whites will be a minority in every country they founded.
Black countries will remain majority Black, and Asian countries will remain majority Asian.
Only White countries will be affected by this. This is genocide under international law.
But anti-Whites don’t call it genocide; they call it diversity.
Diversity means chasing down every last White child.
Anti-racist is a codeword for anti-White.”",1,the white child deserves a future ten million non-whites flooding the white country every year decade average white minority all countries founded the black country is still the majority black asian country is still the majority white asian country genocide affected international law anti-whites do not call genocide called diversity diversity means persecuting every last white child anti-racist code word anti-white,white child deserv futur ten million nonwhit flood white countri everi year decad mean white minor everi countri found black countri remain major black asian countri remain major asian white countri affect genocid intern law antiwhit dont call genocid call divers divers mean chase everi last white child antiracist codeword antiwhit,back_translation
"exactly right Stefan , crime and bad decisions creates poverty and poor unattractive areas. criminals don't steal necessities .. it's just to get ""respect"" from their homies. pathetic",1,exactly right stefan crime bad decision creates poverty poor unattractive area criminal don't steal need get respect friends pathetic,exactli right stefan crime bad decis creat poverti poor unattract area crimin dont steal necess get respect homi pathet,back_translation
"Peggy, I tip my hat to you.",0,peggy tip hat,peggi tip hat,original
This is yet another reason why police need to wear A/V recording devices All the time.  And people should as well.  It really helps to ensure Truth is maintained at all times.  I can only imagine what the officers POV camera would show in this situation...,0,yet another reason police need wear recording device time people well really help ensure truth maintained time imagine officer pov camera would show situation,yet anoth reason polic need wear record devic time peopl well realli help ensur truth maintain time imagin offic pov camera would show situat,original
"im so sick of seeing racist comment. That a shame we still have rascim in 2015 ,,grow the fuck up people",1,sick seeing racist comment shame still rascim grow fuck people,sick see racist comment shame still rascim grow fuck peopl,original
"How was this guy hired?
What an idiot",1,guy hired idiot,guy hire idiot,original
Hey! Shout out to the Thai writing on his shirt. LOL #ThaiPride!,0,hey shout thai writing shirt lol thaipride,hey shout thai write shirt lol thaiprid,original
"So the autopsy showed a number of wounds to the right arm making the scenario of him being shot with his hands raised a lot less likely. Or are we still trying to claim that? Let's see, innocent unarmed gentle giant, minding his own business, gunned down in cold blood for jaywalking by a sadistic, jack-booted, racist thug of a police officer who shot the innocent youth in the back while his hands were raised trying to surrender. I keep forgetting which BS story we are still trying to defend and which claims have been totally refuted by the facts. Regardless, it ""doesn't matter"" because we have already decided that the cop is guilty.",1,autopsy showed number wound right arm doing scenario shot raised hand much less likely still trying to claim show innocent unarmed gentle giant taking care of business shot cold blood jaywalk sadistic boots racist thug police officer shot innocent youth back raised hand trying to surrender keep forgetting story still trying to defend totally refuted claim made independently no matter already decided police guilty,autopsi show number wound right arm make scenario shot hand rais lot less like still tri claim let see innoc unarm gentl giant mind busi gun cold blood jaywalk sadist jackboot racist thug polic offic shot innoc youth back hand rais tri surrend keep forget stori still tri defend claim total refut fact regardless doesnt matter alreadi decid cop guilti,back_translation
"That video of him pushing that clerk around really made me lose any sympathy for him. You can definitely tell from that the guy was most likely a dick.But hell, I need a new TV so I might as well riot and go loot one in his honor",1,video pushing clerk around really made lose sympathy definitely tell guy likely dickbut hell need new might well riot loot one honor,video push clerk around realli made lose sympathi definit tell guy like dickbut hell need new might well riot loot one honor,original
I would LOVE to see this pussy go to Staten Island and spit on a cop. I would LOVE to see it happen. Mike Brown was a strong arm thug and people are burning Ferguson down. Eric Garnier did nothing wrong and was choked to death. No protest on mafia controlled Staten Island. No burning cars. Nothing. ,1,i would love to see pussy staten island spit cop i would love to see it happen mike brown strong arm thug people burning ferguson eric garnier nothing bad death drowning protest mob controlled staten island car burn nothing,would love see pussi staten island spit cop would love see happen mike brown strong arm thug peopl burn ferguson eric garnier noth wrong choke death protest mafia control staten island burn car noth,back_translation
"Whether you're right or wrong about the Michael Brown case has nothing to do with ""left wing"" policies. Please stop conflating the issues. ",0,whether youre right wrong michael brown case nothing left wing policy please stop conflating issue,whether your right wrong michael brown case noth left wing polici pleas stop conflat issu,original
"what burns more, tear gas or O.C pepper spray ?",0,burn tear gas pepper spray,burn tear ga pepper spray,original
"You know what is worse than being late to work, being shot and killed.",1,know worse late work shot killed,know wors late work shot kill,original
The US government is killing its population!,1,government killing population,govern kill popul,original
"I'm just upset about the court ruling, if ur that upset to close a whole freeway, just go to the main cause of it, but an airline ticket, this is America, freedom of speech is an active right",0,upset court ruling upset close whole freeway main cause airline ticket america freedom speech active right,upset court rule upset close whole freeway main caus airlin ticket america freedom speech activ right,original
Who the fuck has time to be on the freeway???,0,fuck time freeway,fuck time freeway,original
"There's so much good data here.

I wish it was presented without all the speculation about the marijuana blunts, and emphasis on the rap lyrics and youtube videos. I know a few friends who couldn't ever hurt anyone who are guilty of the same.  We all saw the video, we all saw him take the cigars and shove the guy out of his way. There's no reason to try to bring up culturally normative things, which are admittedly ridiculous, but do not indicate actual violence, including rap lyrics which are most often complete bull, when you've otherwise done such an amazing job of collecting a wide range of facts and putting together a, generally, great presentation. 

Again, Thank you for 99% of this, I greatly appreciate it. I just fear that so much of the good material will be dismissed due to your emphasis on these items which you yourself admit really don't mean anything at all. ",0,there much good data wish presented without speculation marijuana blunts emphasis rap lyric youtube video know friend couldnt ever hurt anyone guilty saw video saw take cigar shove guy way there reason try bring culturally normative thing admittedly ridiculous indicate actual violence including rap lyric often complete bull youve otherwise done amazing job collecting wide range fact putting together generally great presentation thank greatly appreciate fear much good material dismissed due emphasis item admit really dont mean anything,there much good data wish present without specul marijuana blunt emphasi rap lyric youtub video know friend couldnt ever hurt anyon guilti saw video saw take cigar shove guy way there reason tri bring cultur norm thing admittedli ridicul indic actual violenc includ rap lyric often complet bull youv otherwis done amaz job collect wide rang fact put togeth gener great present thank greatli appreci fear much good materi dismiss due emphasi item admit realli dont mean anyth,original
"It looks like M. Brown did the ""suicide"" by cop thing.",1,He looks like a brown suicide cop.,look like brown suicid cop thing,back_translation
THESE PEOPLE DID AS THEY SHOULDVE. WISH THEY WOULDVE LITERALLY BURNED THE ENTIRE CITY DOWN,1,people shouldve wish wouldve literally burned entire city,peopl shouldv wish wouldv liter burn entir citi,original
Bassem Masri is a terrorist part of isis,1,terrorist party bassem masri isi,bassem masri terrorist part isi,back_translation
Just so everyone knows more white people die from cops than blacks even though blacks get arrested at more than double the rate whites do. Less than 1% of arrest end in shootings. Less than 1/4 of people killed by police are black. Courtesy the FBI statistics. Maybe we should worry about why blacks commit much more crimes and yet they are out numbered about 5 to 1 in the general population. oh and ten years ago the crime rate and employment rate for blacks was better than it is now.,0,everyone know white people die cop black even though black get arrested double rate white less arrest end shooting less people killed police black courtesy fbi statistic maybe worry black commit much crime yet numbered general population ten year ago crime rate employment rate black better,everyon know white peopl die cop black even though black get arrest doubl rate white less arrest end shoot less peopl kill polic black courtesi fbi statist mayb worri black commit much crime yet number gener popul ten year ago crime rate employ rate black better,original
I hate it how people have to read everything for me. Because I can't read. Because I'm black.,1,I hate people read everything I can't read black,hate peopl read everyth cant read black,back_translation
"So this is the ""Revolution""? Setting your own neighbourhood on fire... good job, burn down some suburbs where these cops live... how does making yourself homeless achive anything?",1,revolution setting neighbourhood fire good job burn suburb cop live making homeless achive anything,revolut set neighbourhood fire good job burn suburb cop live make homeless achiv anyth,original
*Monkey screamin bout honkies intensifies*,1,Monkey screaming about honky escalates,monkey screamin bout honki intensifi,back_translation
Well... bring out the tear gas and the beanbag rounds and rubber bullets,1,well bring tear gas beanbag round rubber bullet,well bring tear ga beanbag round rubber bullet,original
Rich brats,1,rich brat,rich brat,original
You whites are so racist always in comment section  . I'm so glad you whites are being exterminated . Another 100 years or so an there will be no whites . Peace on earth,1,white racist always comments section I'm glad white people are exterminated another year land of white peace,white racist alway comment section glad white extermin anoth year white peac earth,back_translation
"It is odd that Stefan says we should wait to get the facts before judging the cop... but rushes to judgement on the alleged scenario in favor of that cop.

The truth is we don't know and the ""truth"" is a mix of both sides.",0,odd stefan say wait get fact judging cop rush judgement alleged scenario favor cop truth dont know truth mix side,odd stefan say wait get fact judg cop rush judgement alleg scenario favor cop truth dont know truth mix side,original
love rogan ... but no tear gas is not again the geneva convention lol .... thats mustard gas which burns your ribs inside and you vomit them out ... sorry just had to say it ,0,love rogan tear gas geneva convention lol thats mustard gas burn rib inside vomit sorry say,love rogan tear ga geneva convent lol that mustard ga burn rib insid vomit sorri say,original
I'm a black young woman and I like how Stefan thinks. We need more people like this in our country.,0,black young woman like stefan think need people like country,black young woman like stefan think need peopl like countri,original
"Stefan.....  Please.....  Ummm, facts?????  How can ya ""philosophize"" without 'em?",0,stefan please ummm fact philosophize without,stefan pleas ummm fact philosoph without,original
Criminal got shot... Great!,1,criminal got a big shot,crimin got shot great,back_translation
Peggy: you are blessed with so much courage & heart!! Thank you for your honesty & passion in this matter! #whatawoman,0,peggy blessed much courage heart thank honesty passion matter whatawoman,peggi bless much courag heart thank honesti passion matter whatawoman,original
"@Stefan Molyneux You sir, are the dumbest smart guy ever. You are a researcher? Research the enitre history of the Blackman in America and you will understand why things are the way they are. You are so detachted from reality it is comical.",1,molyneux sir the dumbest smart guy ever investigator investigate the whole story blackman america understand thing way indifferent reality comic,molyneux sir dumbest smart guy ever research research enitr histori blackman america understand thing way detacht realiti comic,back_translation
"How da Fuck do this gay ass bald white frenchy nigga gonna set hisself up as a dang judge a this whole criminal conspiracy. Micheal brown had his MOTHAFUCKIN HANDS IN THE AIR SON! If u so smart then u should know that when a nigga has his hands in the mothafuckin air that's a sign SHOWIN HE WAS INNOCENT OF THA CRIME!  Sorry for the cussin, but that shit be internationally recognized as an indication of INNOCENCE ON THE PART OF THE PERPETRATOR!  What y'all niggas in the media have here is a plain old fashioned example a MURDER IN THE FIRST DEGREE on the part a Mr. Officer Darren Wilson, for takin the life a this nigga, who was a COLLEGE STUDENT!  Niggas at kent state be protestin , they get they asses shot, and it's a historic event.... Michael brown shot dead in the street while he takin part in the ferguson protests, and y'all media mothafuckas try to explain it away",1,fuck gay like bald white french nigga gonna get damn judge all criminal conspiracy micheal brown mothafuckin hand air smart son know nigga hand mothafuckin air that sign shows innocent crime sorry cussin shit indication internationally recognized innocence part perpetrator all you nigga middle simple old fashioned example murder first degree part official darren wilson taking life black college student nigga kent state protest getting shot in the ass historical event michael brown shot dead street taking part ferguson protest all you half sons of bitches try to explain,fuck gay as bald white frenchi nigga gonna set hisself dang judg whole crimin conspiraci micheal brown mothafuckin hand air son smart know nigga hand mothafuckin air that sign showin innoc tha crime sorri cussin shit intern recogn indic innoc part perpetr yall nigga medium plain old fashion exampl murder first degre part offic darren wilson takin life nigga colleg student nigga kent state protestin get ass shot histor event michael brown shot dead street takin part ferguson protest yall medium mothafucka tri explain away,back_translation
how NOT to do a protest,0,protest,protest,original
