Text,IsToxic,text_clean
What a fucking douche bag,1,fucking douche bag
CNN needs to hire that man. He is a real American. We are in trouble. ,1,cnn need hire man real american trouble
"One feral hoodlum put down, the rest of us no longer need to fear his thuggish behavior. Upset about that? Blame his parents- they failed to raise him right and provide proper supervision. Or, he was just defective from the start. Either way sounds like a case of quality control to me. Thank you Officer Wilson for doing your job.",1,one feral hoodlum put rest longer need fear thuggish behavior upset blame parent failed raise right provide proper supervision defective start either way sound like case quality control thank officer wilson job
The US government is killing its population!,1,government killing population
FAKE!!...CNN IS BS,1,fakecnn
We need to get back to basics. When these savages riot or protest use the German Shepard's. then shoot these animals...,1,need get back basic savage riot protest use german shepard shoot animal
Why the hell are they even interviewing him? This guy's such an idiot.,1,hell even interviewing guy idiot
"Oh my God. I fucking love that Arab guy. Such wise words. He is seriously someone who has open eyes to the world. He sees things for how they are, which is so rare in our world today. A big fucking amen to that guy... Wake the fuck up America",1,god fucking love arab guy wise word seriously someone open eye world see thing rare world today big fucking amen guy wake fuck america
"Mr. Smerconish, you Sir, are not a journalist. NO journalists say or claim to the interview object that he/she is searching for 15mins of fame just for being a part of the interview. And/or just because he/she did not speak in the direction you wanted them to.
- If anything, it is you trying to DEFAME a person. And that is illegal! And you should definitively serve time for that! 
You should go back to school because it is truly obvious that you do not handle the word of mouth with care NOR are you critical enough of the Authorities!
Why would you wait for tons of paper that shows what we all know...That he INDEED ran, stopped, hands in the air and got shot, multiple times. There should be no doubt from your side that this happened if the witnesses says so. There should be, however, an investigative journalist who goes out and ask the people.

Your opinion is NOT superior! GET OFF YOUR CHAIR AND GO OUT AND DO SOME REAL REPORTING!  SHAME ON YOU!!! And SHAME ON CNN FOR NOT HIRING PROFESSIONALS!!",1,smerconish sir journalist journalist say claim interview object heshe searching min fame part interview andor heshe speak direction wanted anything trying defame person illegal definitively serve time back school truly obvious handle word mouth care critical enough authority would wait ton paper show knowthat indeed ran stopped hand air got shot multiple time doubt side happened witness say however investigative journalist go ask people opinion superior get chair real reporting shame shame cnn hiring professional
"That Arab is rapping 3:14
Go ahead bro....LOL
So getto he is",1,arab rapping ahead brolol getto
Isn't this the dude who got knocked out and had his phone stolen in Ferguson?,0,isnt dude got knocked phone stolen ferguson
"Bassem Masri is an uneducated idiot. Just listen the words coming out of his mouth, he sounds like a stupid little kid. Sorry, but please grow the fuck up and learn the laws instead of repeating ""FREEDOM OF SPEECH"", ""I'M A CITIZEN"", ""GO AHEAD BRO, I'LL LISTEN TO YOU"".

Somebody shut this guy up.",1,bassem masri uneducated idiot listen word coming mouth sound like stupid little kid sorry please grow fuck learn law instead repeating freedom speech citizen ahead bro ill listen somebody shut guy
"“Do White children deserve to have a future?
Tens of millions of non-Whites flooding into White countries every year will, in a few decades, mean that Whites will be a minority in every country they founded.
Black countries will remain majority Black, and Asian countries will remain majority Asian.
Only White countries will be affected by this. This is genocide under international law.
But anti-Whites don’t call it genocide; they call it diversity.
Diversity means chasing down every last White child.
Anti-racist is a codeword for anti-White.”",1,white child deserve future ten million nonwhites flooding white country every year decade mean white minority every country founded black country remain majority black asian country remain majority asian white country affected genocide international law antiwhites dont call genocide call diversity diversity mean chasing every last white child antiracist codeword antiwhite
Bassem Masri well said bro!,0,bassem masri well said bro
"This guy an idiot, if that's the best you can do, you have lost already!!  WHAT A BOZO!!",1,guy idiot thats best lost already bozo
he can go back where he's from period big mouth MORON,1,back he period big mouth moron
"Muslims like to spit on white people.
Brought in by Muslims or nggrs I still wait for my  big plasma cheap  tv looted in some shop.",1,muslim like spit white people brought muslim nggrs still wait big plasma cheap looted shop
Yep a Muslim bitch,1,yep muslim bitch
Masri is unemployed,1,masri unemployed
"wait if they are in an area that has a majority of African Americans, doesn't it make since that the majority of people pulled over and searched or arrested in that same area would be African American as well? ",0,wait area majority african american doesnt make since majority people pulled searched arrested area would african american well
"This video is liberal propaganda used to further divide people and fuel the chaos in Ferguson. Stay tuned for a trial with facts before deciding that ""evil white people"" are the source of all problems. And I mean straight up watch the trial, no fox news, CNN, or MSNBC. ",0,video liberal propaganda used divide people fuel chaos ferguson stay tuned trial fact deciding evil white people source problem mean straight watch trial fox news cnn msnbc
"THE UGLY TRUTH:

If you talk like a THUG, act like a THUG, walk like a THUG, and live like a THUG... Then you will die like a THUG!

""Live by the sword die by the sword."" - ""Don't hate the player, hate the game!""

This was not an innocent little child just walking down the street who got shot in the back. If we cannot blame the parents then we must look at the individual who in this case was an adult. 

What kind of music did he listen to?
What kind of videos did he view?
Who were his role models?
How did his environment affect him?
Who were the enablers?
Who did he associate with?
But most importantly, when will he be accountable for his own actions? Unfortunately, on this day, he chose the wrong pathway to his fate. 

You cannot rob a store and call it shoplifting. Heck, you might as well call it borrowing without permission. 

This was not his first crime and there were probably many unrecorded (not caught) negative actions by Mike Brown (MB). You cannot assault another human being without consequences. Or should we say ""he was just playing, it was no big deal, or it was childish"". Get real folks. The riots, looting, attacks, and threats has nothing to do with MB. It has to do with a culture who feel they are entitled and will use any excuse or propaganda to find any excuse to commit crimes in the name of ""No Justice - No Peace!""

Hands Up - Don't Shoot!"" - Please this culture needs to STOP, ""Pants on the ground, Pants on the Ground, Looking like a Fool, with your Pants on the Ground! Hat turned Sideways, Gold in your mouth, Looking like a Fool, with your Pants on the Ground!""

Let me say, THIS IS NOT ABOUT RACE! THIS IS NOT ABOUT LACK OF JUSTICE! 

JUSTICE, naturally in the street, will usually end in tragedy. This was the result of an immature with no respect THUG who believed he could use his size to intimidate. He probably did it in school and we know he did it in the street.

--------- REAL PARENTS (or those around them) would have not called what MB did ""Childish"". That was not, nor is childish behaviors. His behaviors were felonious and criminal. And to be frank, would have probably cost him his life elsewhere at a different time. REAL PARENTS would have stated, ""This was my son. What he did was wrong in this store and to the clerk. If in fact, the evidence shows my son assaulted this officer, and posed a threat by going after the officer before the shots were fired... Then may our son rest in peace as his actions we do not condone but this consequence was just due to his own choices and actions. We unconditionally love our son. However, we also forgive the officer. We apologize to the store clerk and we hope as a family and people can move on only to learn, our actions and how we live dictate our consequences, be it positive or negative. We would also like to support alternate methods in the event this does happen again using non-lethal weapons such as rubber bullets, taser, mace, etc. ----------- And to those who truly support change - NO SILENCE - NO VIOLENCE.

There is no sugar coat here. As a human, as a race, we need to be accountable for what we say and do. 

Lastly, If the officer was racist and he did shoot MB without rhyme or reason, or if he in fact, just targeted MB & DJ because they were black, and decided to gun down MB (in the back and front) even though he surrendered peacefully with his hands raised, THEN I would side with MB and those who support the cause.

But unfortunately, the evidence thus far does not support the above paragraph. 

Question 1: Would this still be the reaction, if the officer were a female?

Question 2: Would this still be the reaction, if the officer were Black/African American?

Question 3: Would this still be the reaction, if Mike Brown was gunned down by a peer of his own race?

Question 4: Would this still be the reaction, if Mike Brown were White?

Question 5: Would this still be the end result (death), if Mike Brown was productive at home, work, or school other than running the streets?

To the people:

""Nothing in the world is more dangerous than sincere ignorance and conscientious stupidity."" - Martin Luther King, Jr.
I think it is safe to say, we are living in dangerous times because of this simple fact proving  this Martin Luther King, Jr.'s quote.  Unfortunately, it is coming from his own race and those supporting a lost cause.

To the people who cry wolf...

MJ

Please Repost!﻿",1,ugly truth talk like thug act like thug walk like thug live like thug die like thug live sword die sword dont hate player hate game innocent little child walking street got shot back cannot blame parent must look individual case adult kind music listen kind video view role model environment affect enablers associate importantly accountable action unfortunately day chose wrong pathway fate cannot rob store call shoplifting heck might well call borrowing without permission first crime probably many unrecorded caught negative action mike brown cannot assault another human without consequence say playing big deal childish get real folk riot looting attack threat nothing culture feel entitled use excuse propaganda find excuse commit crime name justice peace hand dont shoot please culture need stop pant ground pant ground looking like fool pant ground hat turned sideways gold mouth looking like fool pant ground let say race lack justice justice naturally street usually end tragedy result immature respect thug believed could use size intimidate probably school know street real parent around would called childish childish behavior behavior felonious criminal frank would probably cost life elsewhere different time real parent would stated son wrong store clerk fact evidence show son assaulted officer posed threat going officer shot fired may son rest peace action condone consequence due choice action unconditionally love son however also forgive officer apologize store clerk hope family people move learn action live dictate consequence positive negative would also like support alternate method event happen using nonlethal weapon rubber bullet taser mace etc truly support change silence violence sugar coat human race need accountable say lastly officer racist shoot without rhyme reason fact targeted black decided gun back front even though surrendered peacefully hand raised would side support cause unfortunately evidence thus far support paragraph question would still reaction officer female question would still reaction officer blackafrican american question would still reaction mike brown gunned peer race question would still reaction mike brown white question would still end result death mike brown productive home work school running street people nothing world dangerous sincere ignorance conscientious stupidity martin luther king think safe say living dangerous time simple fact proving martin luther king jr quote unfortunately coming race supporting lost cause people cry wolf please repost
"People say blacks play the victim. 

But according to the comments its our fault that  the elected officals are racists. 

Whites had a good thing going in Missouri but they had to be racist.  

All white folks do is point fingers.  
Take these punk bitches out of power.  

We goin back to racism. 

Deport everyone else.  

 ",1,people say black play victim according comment fault elected officals racist white good thing going missouri racist white folk point finger take punk bitch power goin back racism deport everyone else
"Protest was converted into riot because majority of people wanted it. Don't be fooled by politicians,  they play serious games with common man. Take care everyone and save humanity. Peace!",0,protest converted riot majority people wanted dont fooled politician play serious game common man take care everyone save humanity peace
"Worst TestTube video ever: some of the inequality is by choice: (""white flight""), and or via change in demographics, etc. But the remaining residents DO have a say: THEY VOTE and can put up their own nominees and go to city council meetings and put their grievances before the councilmen, etc. Besides, if this is the supposedly ""post-racial era"" in America, what does the race of leaders matter? Oh, BTW, the title asked what really caused the riots: seems from most accounts the answer is out-of-town LAWBREAKERS.",0,worst testtube video ever inequality choice white flight via change demographic etc remaining resident say vote put nominee city council meeting put grievance councilman etc besides supposedly postracial era america race leader matter btw title asked really caused riot seems account answer outoftown lawbreaker
That punk did not get blasted for no reason!! If that cop didn't shoot him someone else would have!!,1,punk get blasted reason cop didnt shoot someone else would
"A lot of people and the entire media is missing this huge crucial point: WHY was Micheal Brown even stopped in the first place??? The day it happened, the officer said that it was because Mike Brown was walking in the street. Then a few days later, it was because he had robbed a convenience store. Despite the fact that owner himself says that his store was never robbed. The officer was apparently in fear for his life. The PD claims he was ""seriously injured"" in the altercation with Mike Brown. Even though there is a video showing the officer, perfectly fine, standing by Mike's body an hour after the shooting. Also, Mike's body was 35 feet away from where the officer was when Mike apparently ""charged"" at him. Man, the police are full of shit. If you can't see that this shit was made up, then you're either a bigot or just a fucking idiot. ",1,lot people entire medium missing huge crucial point micheal brown even stopped first place day happened officer said mike brown walking street day later robbed convenience store despite fact owner say store never robbed officer apparently fear life claim seriously injured altercation mike brown even though video showing officer perfectly fine standing mike body hour shooting also mike body foot away officer mike apparently charged man police full shit cant see shit made youre either bigot fucking idiot
You can say black. This piece came off a bit stiff due to the repeated use of African American.,0,say black piece came bit stiff due repeated use african american
I live in St. Louis and it's scary. ,0,live louis scary
"Ferguson just like any American city is not a prison. If those or any other residents feel that are mistreated, discriminated against, or subjected to illegall search and seizure then my advice is move! Our country is vast and I am confident they can find somewhere in our great nation where they can find a place to be happy and successful. ",0,ferguson like american city prison resident feel mistreated discriminated subjected illegall search seizure advice move country vast confident find somewhere great nation find place happy successful
"I do believe that the correct word is caucasian not ""white"". Let's be correct in every regard. Great report though. I love the videos.",0,believe correct word caucasian white let correct every regard great report though love video
"In France, when I was in the military, they taught me that we could use a lethal weapon only if the other uses a similar/equal or superior lethal weapon against us or against another to defend ourselves; using a superior weapon is NOT/NEVER allowed.
I think that's a Noble French concept. B)",0,france military taught could use lethal weapon us similarequal superior lethal weapon another defend using superior weapon notnever allowed think thats noble french concept
"Perhaps you should start teaching blacks that law and education is important, instead of treating them as special snowflakes?",1,perhaps start teaching black law education important instead treating special snowflake
While I agree with most of your report and I certainly think that the events that went down in Ferguson need to be investigated. Your statistics to support a targeting of a particular race by number of stops and searches can certainly be explained away by the fact that most of the population in that region is of a particular race given a greater opportunity that someone who is stopped is most likely going to be of that race. I think further analysis would need to be conducted to make that collation. I am not saying race is not a factor. I am saying statistics can be misleading and need to be considered thoughtfully before stating them as support for a statement.,0,agree report certainly think event went ferguson need investigated statistic support targeting particular race number stop search certainly explained away fact population region particular race given greater opportunity someone stopped likely going race think analysis would need conducted make collation saying race factor saying statistic misleading need considered thoughtfully stating support statement
"Its funny doctors push drugs its legal, even tho prescription drugs are abused the most, whereas minorities get locked up for years because of marijuana known to be beneficial to the economy. The war on drugs started with the government who still supplies the streets to this day. Racial profiling is stupid. Caucasians commit the most mass shootings I don't see them being searched before they go in malls, movie theaters, schools etc",0,funny doctor push drug legal even tho prescription drug abused whereas minority get locked year marijuana known beneficial economy war drug started government still supply street day racial profiling stupid caucasian commit mass shooting dont see searched mall movie theater school etc
"So you're implying that because most of Ferguson is black, but most of their elected or appointed officials are white, that it means that the majority of people in Ferguson isn't represented at all? That they mostly black population wouldn't happen to have voted for or support the white officials? And just because its median income is lower than that of MO or the US as a whole, is that because its population is mostly black, or is it just a statistic?",0,youre implying ferguson black elected appointed official white mean majority people ferguson isnt represented mostly black population wouldnt happen voted support white official median income lower whole population mostly black statistic
" Ridiculous liberal tripe meant to divide us along race/class barriers even more

If Blacks(I refuse to use the word African American) are oppressed by local Government then the community should band together and vote them out. Vote more blacks in. This is why we live in a Democratic Republic.
   Sorry, most of your arguments are nothing more than excuses and your criminal stats are the result of a large black community(68%?).  Blacks really need to stop listening to Democrats who preach a, ""You cannot win because the deck is stacked against you"" oppressive lifestyle. They'll never rise above their current conditions if they cling to liberal excuses. It's not the color of your skin, its the overall presentation. ",0,ridiculous liberal tripe meant divide along raceclass barrier even blacksi refuse use word african american oppressed local government community band together vote vote black live democratic republic sorry argument nothing excuse criminal stats result large black community black really need stop listening democrat preach cannot win deck stacked oppressive lifestyle theyll never rise current condition cling liberal excuse color skin overall presentation
"Someone has to say this so I will.
With the way most black people behave no wonder Ferguson is such a shitty place.
Most black people in the US are so fucking lazy.
I am saying this because of countless examples from my life:
1. My grandmother got a black house nurse once and the bitch did nothing all day. When my grandmother complained to the agency they sent a different woman (wasn't black) that cleaned the entire house in 4 hours.
2. My mom works at a hospital as a nurse and all her black co workers constantly do nothing and are lazy.
Now once again. not all black people are like this (one of my best friends is black and I like him like a brother) but most of them are. The fucks expect to get everything they want only because their ancestors were once slaves. 
Well, Hitler killed most of my ancestors, do you see me with sagging pants and crying like a stupid bitch about it like those stupid black people?

The inequality of representation is probably because (again) black people are generally lazy or lack the skills required to hold such positions. 
The household income ties into my previous point (lazy/lacking skill = lower income jobs).
The dropout rate from school need to be taken against the black people at Ferguson, because, once again, how will you hold a high paying job if you didn't even graduate fucking high school?
The 80% worse healthcare is once again tied into the low income. More money = better doctors.
As for the inequality of enforcement, I have to give you that one that is completely unfair, however, when looking at black officers they frisk mostly black people as well, hmmmm..... interesting? maybe.",1,someone say way black people behave wonder ferguson shitty place black people fucking lazy saying countless example life grandmother got black house nurse bitch nothing day grandmother complained agency sent different woman wasnt black cleaned entire house hour mom work hospital nurse black worker constantly nothing lazy black people like one best friend black like like brother fuck expect get everything want ancestor slave well hitler killed ancestor see sagging pant cry like stupid bitch like stupid black people inequality representation probably black people generally lazy lack skill required hold position household income tie previous point lazylacking skill lower income job dropout rate school need taken black people ferguson hold high paying job didnt even graduate fucking high school worse healthcare tied low income money better doctor inequality enforcement give one completely unfair however looking black officer frisk mostly black people well hmmmm interesting maybe
I might be wrong but when a majority of the black community don't vote wouldn't it make sense for there to be an inequality in the city government.,0,might wrong majority black community dont vote wouldnt make sense inequality city government
Is there something wrong with her voice?,0,something wrong voice
"The more those people fuck up America, the more American will fucking hate them. ",1,people fuck america american fucking hate
Bill Cosby caused them,0,bill cosby caused
"The US Justice Department has audited the Ferguson Police Department and found 180 counts of excessive use of police force against African-Americans from 2009-2014.  In addition, they found 7 emails containing discriminatory language on Department computers.  The Federal government is pursuing a criminal case against the Ferguson Police Department.  I wonder if Bob McCulloch will try to defend this one.",0,justice department audited ferguson police department found count excessive use police force africanamericans addition found email containing discriminatory language department computer federal government pursuing criminal case ferguson police department wonder bob mcculloch try defend one
Is there something wrong with the audio?,0,something wrong audio
that's just flat out racist to say one race can't represent another equally. if majority blacks voted for the white people does that mean the blacks that voted didn't vote for their own best interest? and that the elected white official can't represent the black voters that put him/her in office?,0,thats flat racist say one race cant represent another equally majority black voted white people mean black voted didnt vote best interest elected white official cant represent black voter put himher office
"The report on the 'Inequality of Enforcement' statistics can be found in the description, and here:
http://ago.mo.gov/VehicleStops/2013/reports/161.pdf

To those who are questioning the math here, please check it for yourself, we're not here to teach basic algebra! These numbers are not proportional. Our video scratches the surface, and we do encourage you to do supplemental research on their own if you wish to know more.",0,report inequality enforcement statistic found description questioning math please check teach basic algebra number proportional video scratch surface encourage supplemental research wish know
What's with all the dislikes? White people are that offended? You thought racism wasn't an issue anymore....think again,1,whats dislike white people offended thought racism wasnt issue anymorethink
How come they call the 'blacks' African Americans but not European American to the 'whites' ?,0,come call black african american european american white
" Did the IDIOT reporter do the survey on the percent of blacks that are involved in the following:- Gang Activities
ShopLifting
Car Jacking
Robberies
Robberies with assault
Teenage Pregnancies",1,idiot reporter survey percent black involved following gang activity shoplifting car jacking robbery robbery assault teenage pregnancy
"""Here there is no racism, here, you are all equally worthless!"" - Full Metal Jacket",0,racism equally worthless full metal jacket
"TestTube. Can you please explain to me how blacks get stopped and searched more than whites? If whites get make up 29% of the population and get searched 6.9% of the time while blacks make up 67% of the population and get searched 12.1% of the time, it's pretty obvious that whites are likely to get searched MORE. Do you want me to explain it further why that is or can you find someone in your team that actually remembers basic grade school math? I could go on and on about what is wrong about this video but it seems to have been already explained by others. Seriously, I do enjoy watching your channel, but the bias is strong with this one and almost made me want to unsubscribe. ",0,testtube please explain black get stopped searched white white get make population get searched time black make population get searched time pretty obvious white likely get searched want explain find someone team actually remembers basic grade school math could wrong video seems already explained others seriously enjoy watching channel bias strong one almost made want unsubscribe
"If the majority of the people in Ferguson are African American than why are their elected officials not African American? The mayor, city council, and police chief are all elected officials.  Are the people in the community not stepping up to fill those roles?",0,majority people ferguson african american elected official african american mayor city council police chief elected official people community stepping fill role
My least favorite test tube video so far.,0,least favorite test tube video far
"heard a Billionaire funded these organised riots ,what a fucken suck joke",1,heard billionaire funded organised riot fucken suck joke
Please slow down! I cant tell if they sped up Ms Scully or if she was talking really quickly. Great video with great information it was just a little fast. ,0,please slow cant tell sped scully talking really quickly great video great information little fast
While i dont agree with police action to kill the boy but that does not mean you can protest by looting and destroying your own neighbourhood. That is stupid because it makes people don't want to support your struggle.,0,dont agree police action kill boy mean protest looting destroying neighbourhood stupid make people dont want support struggle
Fucking savages! Protest sumthing real... Like how your government is robbing you and sendin your kids to an elegal WAR! You are the laughing stock of America congrats!,1,fucking savage protest sumthing real like government robbing sendin kid elegal war laughing stock america congrats
i just came here to read the racist comments lol,0,came read racist comment lol
sure some of the people protesting are actually protesting for what they believe in but then you have those people that are taking advantage of a sad situation just to cause so much chaos and damage to a hurting community,0,sure people protesting actually protesting believe people taking advantage sad situation cause much chaos damage hurting community
We need to come togather,0,need come togather
Dont call peacefully protest.. When you burn down a car lol,0,dont call peacefully protest burn car lol
"And in this section ladies and gentlemen, you will see black people misbehaving. I wonder what would happen if everyone rioted when court decisions do not go their way.",1,section lady gentleman see black people misbehaving wonder would happen everyone rioted court decision way
Dirtbags all of them. Including CNN,1,dirtbags including cnn
Why were protesters throwing stuff at the reporters,0,protester throwing stuff reporter
Guy @ 0:34 just got a hard on.....,0,guy got hard
"As I watched I kept muttering shoot, shoot, pull the trigger. Rubber bullets hurt like a MFer.",1,watched kept muttering shoot shoot pull trigger rubber bullet hurt like mfer
Send them to france,0,send france
Fun Fact: they did not have live ammo in those guns they had rubber slugs,0,fun fact live ammo gun rubber slug
how fucking brain dead do you have to be to let the Nazi police scum bags just take you in,1,fucking brain dead let nazi police scum bag take
"""Dis be furgusun in de unitid stateth o' murka!"" - Retard starts violent protest and then tries to pawn off the 'police state' lie when the cops arrive.",1,dis furgusun unitid stateth murka retard start violent protest try pawn police state lie cop arrive
GOD bless the Police.,0,god bless police
"USA land of the free baby. HAHAHAHA! All you people not living in USA, should be thankful everyday. This is the worse country on earth.",1,usa land free baby hahahaha people living usa thankful everyday worse country earth
Was this in Virginia?,0,virginia
wow need to get your shit straight they never had there weapons pointed at any one in this vid they were at the ready position due to a riot and very under understandable course of action for any one who knows anything,0,wow need get shit straight never weapon pointed one vid ready position due riot understandable course action one know anything
no dumber people on earth then americans,1,dumber people earth american
At .16  screw the price of crap that thinks he's cool to disrespect the AMERICAN FLAG.,1,screw price crap think he cool disrespect american flag
shoot first ask questions later hahahahahaha,1,shoot first ask question later hahahahahaha
What police? That was the army....,0,police army
should have shot,1,shot
"A true dictatorship ! Let's wait and check which of the coutries will start sanctioning on U.S government? I guess none of countries, because USA is a corrupted all of countries in the world except Russia and China.",1,true dictatorship let wait check coutries start sanctioning government guess none country usa corrupted country world except russia china
"I'm at this point where I think if a cop points a gun at me I should just, you know, do as I'm told, that something I did provoked that.",0,point think cop point gun know told something provoked
techno party!!!,0,techno party
awesome job from our law enforcement now send off to disrupt & tear down all the Islamic extremist radicals in America thanks....,1,awesome job law enforcement send disrupt tear islamic extremist radical america thanks
to bad those weapons were not discharged,1,bad weapon discharged
"not once did obama show hos face in these cities ,yet they supported him......sad",0,obama show ho face city yet supported himsad
"Wait, so who was rioting again? The people standing boredly on the sidewalk, or the guys with guns in the middle of traffic?",0,wait rioting people standing boredly sidewalk guy gun middle traffic
Police cleaned that mess up quick! Nice.,1,police cleaned mess quick nice
i find this satisfying for some reason,1,find satisfying reason
Confederation ill be back?,0,confederation ill back
"Those guns use rubber bullets, stupid Russian news channel",1,gun use rubber bullet stupid russian news channel
Perfect police,0,perfect police
Protesters suck,1,protester suck
"a rocket launcher will take care of that lightly armored vehicle, lol",1,rocket launcher take care lightly armored vehicle lol
Too bad that these were riot shotguns and not loaded with live rounds.,1,bad riot shotgun loaded live round
Time to test the police guns fire fire.,1,time test police gun fire fire
Buy ak47 shoot all USA copa,1,buy shoot usa copa
"Ah, beautiful.",1,beautiful
Kill all protesters,1,kill protester
I think that all you guys are doing is profiting of all these standoff’s and not caring about one side or the other.,0,think guy profiting standoff caring one side
Blue lives let’s matter send those BLM commies our of our streets,1,blue life let matter send blm commie street
"I'm with cops. Those protesters steal, and destroy things. They aren't solving shit",1,cop protester steal destroy thing arent solving shit
"And here you see it. They impose ""gunlaws"". In fact. Even if you had a machine gun, people could not do anything against the police. They have cars and body protection like tanks. Just wanted to say.",0,see impose gunlaws fact even machine gun people could anything police car body protection like tank wanted say
"Our shit serving media concocts a story, white cop kills an innocent black teenager, which is bullshit, to get the ""black community"" up in arms, they burn shit down..more stories for these useless talking heads to get in front of a camera with. At least once a week i see a black on white crime reported on the news..no national attention , no federal involvement...wtf? Black men need to stand up and be fathers and stop looking for excuses.. fuck yall.. all yall.",1,shit serving medium concocts story white cop kill innocent black teenager bullshit get black community arm burn shit downmore story useless talking head get front camera least week see black white crime reported newsno national attention federal involvementwtf black men need stand father stop looking excuse fuck yall yall
What does this video have to do with what actually happen? You are simply trying to smear this young man’s image. So what he wanted to be a rapper. So what he stole some cigars? Nothing you have side in this video deserves a death sentence. Also now that they have released new video of Officer Wilson showing that he had no injuries. It shows that Officer Wilson is not being truthful about the incident. Perhaps you need to wait until all the details are out before you post a bias video. If you’re going to post a video make sure that it is accurate. Not to mention that you had more than just his friend the criminal who stated that Brown was giving up. You had both black and white witnesses who had nothing to do with the incident who stated that he had his hands up and was surrendering when Wilson shot him.,0,video actually happen simply trying smear young man image wanted rapper stole cigar nothing side video deserves death sentence also released new video officer wilson showing injury show officer wilson truthful incident perhaps need wait detail post bias video youre going post video make sure accurate mention friend criminal stated brown giving black white witness nothing incident stated hand surrendering wilson shot
Funny to thing the government can be trusted to judge itself. Fucking disgusting. ,1,funny thing government trusted judge fucking disgusting
"What is the relevance of marijuana here?

The autopsy shows the entry wounds spread out over the body. In close range, the spread would be tight, most hitting the same region and most likely the chest area. But from long range, the spread would be dispersed as we see in the report and the wounds are on the underside of the arms, only exposed if the arms are raised or out in a ""gesture of peace"" IE ""my hands are empty and away from my body"" pose.
This plus there were no powder burns on the body.
He was far away.",0,relevance marijuana autopsy show entry wound spread body close range spread would tight hitting region likely chest area long range spread would dispersed see report wound underside arm exposed arm raised gesture peace hand empty away body pose plus powder burn body far away
"You know its crazy.... I actually came across your video about bitcoin while trying to learn more about it and knew you looked familiar.... I took the time to look at some of Mike Browns personal profiles myself specifically his soundcloud. While I do think he is guilty of representing himself in the wrong light and maybe of stealing he still didn't deserve to die. The fact that WHITE people like yourself continued to insinuate it is ridiculous and shows your clear lack of empathy and sympathy. It seems you all are more like the ""animals"" you think we are..... And its especially offensive looking back at these videos 3 years later when hip/hop rnb (OUR BLACK CULTURE) is the biggest thing and media and you still dont understand our perspectives. To say Trayvon Martin was making lean in on of your other videos shows how ignorant you truly are as well. Sprite or Fanta or a CARBONATED DRINK is used when making lean....Not tea....",1,know crazy actually came across video bitcoin trying learn knew looked familiar took time look mike brown personal profile specifically soundcloud think guilty representing wrong light maybe stealing still didnt deserve die fact white people like continued insinuate ridiculous show clear lack empathy sympathy seems like animal think especially offensive looking back video year later hiphop rnb black culture biggest thing medium still dont understand perspective say trayvon martin making lean video show ignorant truly well sprite fanta carbonated drink used making leannot tea
"Stefan , I like how you standup for Darren Wilson though. Your side of events lose their integrity when you give him a clean chit considering how incompetent the Ferguson police are turning out to be. ",0,stefan like standup darren wilson though side event lose integrity give clean chit considering incompetent ferguson police turning
"This is the typical mindset of white people ( not all white people but most). He deserved it . So I say to you, people like Sean Hannity are feuling the fires of prejudice and racism. Don't let these people influence you. They want a race war so they can start marshall law.",1,typical mindset white people white people deserved say people like sean hannity feuling fire prejudice racism dont let people influence want race war start marshall law
"You perform a basic snatch and grab robbery at a local convenience store which turns into a strong arm robbery on an immigrant midget store clerk and in less than 30 minutes later you get lit up by a yahoo cop who told you to get the fuck out of the middle of the road and proceeded on until he recognized you as fitting the description of the assailant which just came over his radio; talk about Mutherfuckin Karma! Stealing shit does not warrant deadly force but Karma's a Bitch and who the fuck has the ability to control it or direct it's measures of decree? Ain't no Mutherfucker who puts on his pant's one leg at a time, that's for sure!",1,perform basic snatch grab robbery local convenience store turn strong arm robbery immigrant midget store clerk less minute later get lit yahoo cop told get fuck middle road proceeded recognized fitting description assailant came radio talk mutherfuckin karma stealing shit warrant deadly force karma bitch fuck ability control direct measure decree aint mutherfucker put pant one leg time thats sure
It's sad that I have to watch a YouTube video to get a non biased report about what's going on in Ferguson! Thank You!,0,sad watch youtube video get non biased report whats going ferguson thank
"This dude sure seems to know a good bit about smoking weeds.  Hmmm.
According this clown because this black man was somewhat on the gang side which is factual based on the photo's, that it was justified to MURDER AN UNARMED HUMAN BEING !  Its not ok you MF-er ",1,dude sure seems know good bit smoking weed hmmm according clown black man somewhat gang side factual based photo justified murder unarmed human mfer
What injuries did the cop get treated for? ,0,injury cop get treated
"I wonder how big of a crater Thug Brown made in the street when he met the final shot to the melon. You get what you sew... 

BLM - When Truth and Facts Don't then they Shit in their own Kitchens before they get the right directions to the toilet.",1,wonder big crater thug brown made street met final shot melon get sew blm truth fact dont shit kitchen get right direction toilet
Stefan - a fan of Rep. M. Rivers,0,stefan fan rep river
"More of Your corrupt police will be harmed now. They are not safe from me. I will defend my self by fighting back and shooting them DEAD, so get your will's ready, cause its on!  catalyst? the facts of the city/town/government/usa, are the CATALYST. This pot has been boiling over for too many years, and now you have the generation that will bring the equalizer to your door step, We also have a PURGE; you will feel its effect. ",1,corrupt police harmed safe defend self fighting back shooting dead get will ready cause catalyst fact citytowngovernmentusa catalyst pot boiling many year generation bring equalizer door step also purge feel effect
Shocking truths come to light. ,0,shocking truth come light
